Player,BankIni,BankInc,BankIncBet,TotalGames,TotalBet,TotalB,TotalR,TotalC,TotalK,PreflopVCom,FlopVCom,TurnVCom,RiverVCom,FlopVSim,TurnVSim,RiverVSim
ally,213.6,1.0,53.0,4.0,25.0,6.0,0.0,12.0,6.0,0.6005,0.592875,0.68695,0.644825,0.552254363275,0.848205436025,0.848718333475
tri,104.66,-100.34,164.0,33.0,287.0,72.0,55.0,40.0,53.0,0.527072727273,0.555242424242,0.628596969697,0.666884848485,0.532568167127,0.698660489839,0.849256217639
n1j1n,178.22,62.28,280.5,44.0,314.0,67.0,40.0,88.0,66.0,0.556445454545,0.616486363636,0.611986363636,0.610488636364,0.607771010505,0.702042582766,0.812278259205
OurHero,227.66,-47.7,1159.24,183.0,1133.0,326.0,152.0,279.0,269.0,0.585645355191,0.620033333333,0.625559562842,0.621348087432,0.607671887585,0.713588752016,0.802975423038
neophyte,90.6,10.0,102.5,11.0,66.0,12.0,2.0,31.0,21.0,0.5317,0.680918181818,0.7249,0.703809090909,0.751842695118,0.856915283582,0.923083988827
SheDevil,609.28,-38.56,287.5,45.0,261.0,87.0,15.0,89.0,57.0,0.586553333333,0.64394,0.614542222222,0.61102,0.671965418647,0.709054202882,0.792136726478
Banker,306.46,20.96,407.0,71.0,472.0,128.0,72.0,88.0,120.0,0.577963380282,0.609778873239,0.605598591549,0.624225352113,0.637385571777,0.716773155631,0.822906074669
Jokerman,127.96,-52.5,88.5,15.0,109.0,26.0,14.0,26.0,15.0,0.587853333333,0.65904,0.6364,0.642066666667,0.623894865633,0.72122797838,0.868944552187
texasred,151.2,-27.68,87.5,16.0,116.0,28.0,9.0,36.0,19.0,0.597775,0.64043125,0.63855625,0.652875,0.60970138055,0.673125644494,0.7948130454
FOLDIT,182.26,-38.4,254.0,43.0,282.0,63.0,36.0,75.0,74.0,0.546406976744,0.601069767442,0.604911627907,0.592079069767,0.60331073396,0.669293942979,0.755187969642
ashes,105.4,7.0,26.0,2.0,13.0,3.0,1.0,6.0,2.0,0.60685,0.63165,0.57945,0.72375,0.57249746055,0.5732823899,0.8880059716
dimwit,1786.72,5.0,65.0,10.0,62.0,13.0,4.0,25.0,14.0,0.63164,0.65253,0.658,0.63747,0.69116850586,0.79889020993,0.86232400653
vegOmatic,106.34,0.0,16.5,1.0,8.0,2.0,0.0,4.0,2.0,0.5526,0.771,0.738,0.7515,0.7892680149,0.793158802,0.793158802
tilted,182.22,-24.3,7166.24,1034.0,6273.0,1851.0,738.0,1790.0,1474.0,0.561560251451,0.60216073501,0.61275270793,0.613944874275,0.605305051274,0.723350060528,0.818182643165
Blitz,127.9,-45.5,164.5,30.0,158.0,32.0,6.0,69.0,57.0,0.5812,0.641203333333,0.685633333333,0.630136666667,0.63896394455,0.777899121187,0.805380164887
fish,180.16,26.82,35.0,16.0,95.0,20.0,7.0,41.0,29.0,0.56100625,0.613725,0.61198125,0.61585,0.669156340425,0.736738565619,0.818544268663
gfw,298.6,-3.1,7381.5,909.0,6367.0,1715.0,1075.0,1066.0,1214.0,0.599391969197,0.654032123212,0.664667656766,0.662636633663,0.655855211679,0.758779590366,0.841299482472
Butcher,226.54,-25.14,95.5,16.0,90.0,21.0,12.0,28.0,35.0,0.533175,0.59898125,0.6321,0.6011,0.490480038181,0.657310953238,0.769149342425
Regstar,810.16,605.04,2390.5,293.0,2006.0,500.0,281.0,474.0,426.0,0.560818771331,0.617067235495,0.626596245734,0.640903754266,0.607367658273,0.715923020563,0.824452365613
Jefferson,296.2,445.2,3020.96,391.0,2959.0,883.0,397.0,710.0,363.0,0.557922762148,0.623279028133,0.63894398977,0.65859488491,0.623100129289,0.736580438785,0.846277111078
