Player,BankIni,BankInc,BankIncBet,TotalGames,TotalBet,TotalB,TotalR,TotalC,TotalK,PreflopVCom,FlopVCom,TurnVCom,RiverVCom,FlopVSim,TurnVSim,RiverVSim
Alcatraz,-209.32238842,565.633341375,-514.524571773,-60.3407720145,-412.731604343,-99.3576598311,-43.6646562123,-127.192400483,-71.8130277443,-0.00533701431987,-0.00941332210599,-0.0256799641899,-0.0468322014506,-0.0163529718875,-0.0387733932453,-0.0356308189124
longbow,-172.38238842,-212.106658625,-866.524571773,-110.340772014,-730.731604343,-188.357659831,-98.6646562123,-179.192400483,-161.813027744,0.00555941425156,0.0108288207512,0.00455860723867,0.00566851283514,0.00665828756253,-0.00424641762101,-0.025324919081
ZMonster,-153.08238842,-108.446658625,-840.024571773,-112.340772014,-757.731604343,-182.357659831,-102.664656212,-195.192400483,-160.813027744,0.0112099698071,0.0291793763067,0.00586082946089,-0.0406209316093,0.0412802816725,0.0394116096945,-0.0319330431043
SteveLehr,-206.08238842,-145.106658625,-913.524571773,-126.340772014,-828.731604343,-205.357659831,-110.664656212,-216.192400483,-183.813027744,0.113079414252,0.248073820751,0.241613607239,0.181073512835,0.348983063623,0.237226248364,0.145843163554
hturner,-7.84238841978,1346.11334138,-300.524571773,-25.3407720145,-263.731604343,-69.3576598311,-28.6646562123,-71.1924004825,-10.8130277443,0.0177567952039,0.022147630275,0.00377241676248,0.00682398902562,-0.000406050995087,-0.0274032444515,-0.0172883683834
BubbaZ,-194.30238842,-207.606658625,-470.024571773,-58.3407720145,-368.731604343,-97.3576598311,-39.6646562123,-104.192400483,-88.8130277443,0.0222877475849,0.0101057651956,-0.00997111498356,-0.0335889871649,0.016778611335,-0.00865031806795,-0.0365688664446
Wizardv,911.83761158,-120.606658625,-884.524571773,-119.340772014,-814.731604343,-204.357659831,-112.664656212,-199.192400483,-164.813027744,-0.0319137675666,-0.0313034519761,-0.0924295745795,-0.0740537598921,-0.0476173597638,-0.0658549491519,-0.0318142543255
looser,-158.90238842,-137.386658625,-868.524571773,-120.340772014,-794.731604343,-199.357659831,-104.664656212,-205.192400483,-173.813027744,0.0174844142516,0.107843820751,0.130958607239,0.124463512835,0.0987509707925,0.108276514629,0.036226528419
Ichibon,237.07761158,-121.606658625,-753.024571773,-110.340772014,-744.731604343,-175.357659831,-109.664656212,-182.192400483,-161.813027744,0.0245794142516,0.113538820751,0.112013607239,0.139038512835,0.127472305483,0.094096842759,0.082477875114
dr_poker,-176.92238842,-217.686658625,-886.024571773,-122.340772014,-803.731604343,-206.357659831,-106.664656212,-208.192400483,-180.813027744,0.0103794142516,0.0470488207512,0.00345110723867,0.0418485128351,0.06389018031,-0.00373090371101,0.030418051179
